[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493372460.0, 'sSourceAddr': IP('172.16.3.45'), 'iPortRange': '22:8888', 'sScanType': 'TCP Portscan', 'iConnectNum': '72', 'iAddressNum': '3', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493373000.0, 'sSourceAddr': IP('172.16.3.225'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '93', 'iPortNum': '73', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493373060.0, 'sSourceAddr': IP('172.16.2.4'), 'iPortRange': '1900:3702', 'sScanType': 'UDP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '85', 'iPortNum': '21', 'sTargetAddr': IP('239.255.255.250')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493373600.0, 'sSourceAddr': IP('172.16.3.225'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '31', 'iPortNum': '13', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493374200.0, 'sSourceAddr': IP('172.16.3.245'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '64', 'iPortNum': '44', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493374860.0, 'sSourceAddr': IP('172.16.3.45'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '66', 'iPortNum': '58', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493376120.0, 'sSourceAddr': IP('172.16.2.4'), 'iPortRange': '1900:3702', 'sScanType': 'UDP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '58', 'iPortNum': '61', 'sTargetAddr': IP('239.255.255.250')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493376720.0, 'sSourceAddr': IP('172.16.2.209'), 'iPortRange': '1900:3702', 'sScanType': 'UDP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '61', 'iPortNum': '17', 'sTargetAddr': IP('239.255.255.250')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493376780.0, 'sSourceAddr': IP('172.16.3.225'), 'iPortRange': '22:445', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '40', 'iPortNum': '39', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493377320.0, 'sSourceAddr': IP('172.16.3.145'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '70', 'iPortNum': '66', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493377920.0, 'sSourceAddr': IP('172.16.3.225'), 'iPortRange': '22:445', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '64', 'iPortNum': '59', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493378400.0, 'sSourceAddr': IP('172.16.3.145'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '67', 'iPortNum': '65', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493379120.0, 'sSourceAddr': IP('172.16.3.145'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '32', 'iPortNum': '30', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493379660.0, 'sSourceAddr': IP('172.16.2.82'), 'iPortRange': '137:1947', 'sScanType': 'UDP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '84', 'iPortNum': '27', 'sTargetAddr': IP('172.16.2.255')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493379720.0, 'sSourceAddr': IP('172.16.3.145'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '37', 'iPortNum': '36', 'sTargetAddr': IP('172.16.2.241')}
