id,sURLGroupName,sGroupDesc,sURL,iType,sDomainKey
29,广告及弹窗,提供在线广告或横幅的站点,,1,
30,烟酒,供应销售、促销、推崇、评论或以任何方式提倡使用或制作烟酒的站点,,1,
31,匿名网站,具有非恶意、非唐突内容资源，不可通过浏览器直接查看的站点,,1,
32,艺术,培养和促进艺术文化理解(如绘画、音乐、舞蹈、雕塑等)的站点,,1,
33,僵尸网络,僵尸网络发送数据使用的目标站点，或接收命令和控制指令使用的源站点,,1,
34,商业,专注于商行、商业信息、经济、营销、商业管理和创业的站点,,1,
35,网络聊天室,提供多人通过文字与符号进行实时交谈、聊天的场所,,1,
36,儿童色情,包括未成年人参与明显性行为的可视描绘内容的站点,,1,
37,被感染的网站,被病毒或木马感染的站点,,1,
38,计算机技术,主办计算机、技术、Internet 和技术相关组织或公司的站点,,1,
39,犯罪活动,推崇或宣扬违法犯罪活动的站点,,1,
40,邪教,邪教分子用来制造、散布歪理邪说等手段蛊惑、蒙骗他人的站点,,1,
41,约会和交友,提供陌生人之间认识、互相交流场所的站点,,1,
42,软件下载,致力于各种类型计算机或移动设备的软件电子下载（收费或免费）的站点,,1,
43,教育,提供教育信息、远程学习或职业学校信息或学习计划的站点,,1,
44,娱乐,针对大众娱乐媒体（如电影、电视、娱乐杂志等）提供信息或促销的站点,,1,
45,时装与美容,提供服饰搭配、美容知识等方面内容的站点,,1,
46,金融,提供银行服务或其他类型的金融信息或投放相关广告的站点,,1,
47,论坛与新闻组,主要为以下对象提供访问权的站点：新闻组、消息或布告栏系统,,1,
48,赌博,用户可在其中下注或参与赌池活动，或接收此类活动的信息、培训的站点,,1,
49,游戏,支持玩耍或下载视频游戏、计算机游戏或电子游戏的站点,,1,
50,普通网站,需要禁止访问，但又不归入其他分类的网站,,1,
51,政府机构,提供政府机构信息及新闻活动等方面知识的站点,,1,
52,贺卡,帮助发送通常用于庆祝某事件或重要时刻的电子贺卡、动画卡的站点,,1,
53,黑客,分发、促销或提供黑客工具和/或信息的站点,,1,
54,仇恨和偏执,描述敌意或基于种族、宗教、国籍等包含仇恨与偏执情绪内容的站点,,1,
55,医药卫生,提供医疗卫生信息的站点，如医院资讯、医学知识、医疗新闻等信息,,1,
56,违禁药物,提供、销售等方式提倡非法使用、制造或分发毒品及其他违禁药物的站点,,1,
57,非法软件,提供盗版软件信息及下载服务的站点,,1,
58,图片共享,可让您共享图片共享，但具有以下低风险的站点：包括有伤风化的内容,,1,
59,信息安全,提供信息安全相关方面的文章、视频、软件等内容的站点,,1,
60,即时通讯,提供聊天、短信 (SMS) 或即时消息功能或客户端下载的站点,,1,
61,求职,提供求职帮助以及查找预期雇主的工具的站点,,1,
62,休闲娱乐,提供休闲娱乐信息的站点,,1,
63,恶意软件,承载或分发恶意软件的站点,,1,
64,网络故障,提供网络故障信息、原因分析、解决办法等内容的站点,,1,
65,新闻,主要报告有关每天最新事件或当前问题的信息或评论的站点,,1,
66,非营利组织和非政府组织,提供非营利组织和非政府组织的新闻、信息及活动等内容的站点,,1,
67,裸体,包含人体裸体或半裸描绘内容的站点,,1,
68,停放域名,使用域名停放服务的站点,,1,
69,点对点网络,通过分发软件来简化直接交换用户之间的文件的站点,,1,
70,个人网站,主要提供个人网页和博客访问权的站点,,1,
71,网络钓鱼与欺诈,针对显示为合法银行或零售商，意图以欺诈方式捕获敏感数据设计的站点,,1,
72,政治,由政党或任何促进公共政策、民意、社会实践等组织赞助的站点,,1,
73,色情,包含旨在激发性欲或淫欲的明显性材料的站点,,1,
74,专用网络,指遵守RFC1918和RFC4193规范，使用私有IP地址的网络,,1,
75,房地产,提供房地产或不动产租借、购买或销售相关信息的站点,,1,
76,宗教,推广传统组织宗教信仰、习惯、仪式以及直接相关主题的站点,,1,
77,饭店与餐饮,提供餐馆信息、外卖派送等服务的站点,,1,
78,学校作弊,关于在学校里作弊行为相关的站点，如销售作弊工具、提供作弊信息,,1,
79,搜索引擎和门户网站,支持搜索 Internet、索引和目录的站点,,1,
80,性教育,提供有关生殖、性发育、安全性行为、性特征、改善性行为等信息的站点,,1,
81,购物,提供货物或服务购买方式或投放相关广告的站点,,1,
82,社交网络,让用户与他人建立联系以形成在线团体的站点,,1,
83,垃圾网站,正在构建、暂停域、搜索诱售机会或其他形式的通常没有有用价值的站点,,1,
84,体育,提供体育赛事信息、运动员信息、运动知识等体育运动相关知识的站点,,1,
85,流媒体及下载,提供电视、电影、网络摄像机或其他视频内容数据流或相关下载的站点,,1,
86,低俗,内容低级趣味、毫无营养价值的站点,,1,
87,运输,提供关于运输行业、交通方面信息等内容的站点,,1,
88,翻译,可让您翻译文本（单词、短语、网页、各种语言之间的文本）的站点,,1,
89,旅游,促销或提供机会实现旅游计划的站点,,1,
90,暴力,网站内容多为血腥、暴力、粗俗的站点,,1,
91,武器,销售、评论或介绍武器（如枪、刀或武术兵器）的站点,,1,
92,电子邮件,提供基于 Web 的电子邮件服务和邮件列表服务的站点,,1,
