id,中文,en-US
1,更新,Update
2,缓存管理,"Cache management"
3,添加,Add
4,系统监控,"System monitoring"
5,查看,Check
6,信息概况,"General information"
7,网络流量监控,"Network traffic monitoring"
8,设备负载监控,"Device load monitoring"
9,删除,Delete
10,WEB应用监控,"WEB application monitoring"
12,修改,Modify
15,上传文件,"Upload file"
19,编辑,Edit
22,安装库,"Install library"
23,搜索,Search
24,配置表,"Configuration table"
25,网口配置,"Port configuration"
26,端口镜像,"Port mirroring"
28,虚拟线,"Virtual Wire"
30,拨号设备,"Dial device"
31,端口聚合,"Aggregate port"
32,VLAN设备,"VLAN device"
33,DHCP,DHCP
34,DNS设置,"DNS setting"
35,IPV6隧道配置,"IPV6 tunnel"
36,NAT64配置,NAT64
37,ECMP,ECMP
38,静态路由,"Static routing"
39,WEB站点流量,"WEB site traffic"
40,策略路由,"Policy routing"
41,"新建连接数 与 处理事务数","Number of new connections and transactions processing"
42,ISP路由,"ISP routing"
43,并发连接数,"Concurrent connections"
44,动态路由,"Dynamic routing"
45,IP/IP组,"IP/IP group"
46,ISP地址,"ISP address"
47,服务/组,Service/group
48,URL类型组,"URL type group"
49,文件类型组,"File type group"
50,时间计划,"Time plan"
51,自定义IPS规则库,"User defined IPS rule base"
52,WEB应用防护规则库,"WEB application protection rule base"
53,NAT,NAT
54,连接数控制,"Connection quantity control"
55,DOS/DDOS防护,"DOS/DDOS prevention"
56,会话管理,"Session management"
57,会话控制,"Session control"
58,连接排行榜,"Connection ranking list"
59,会话状态,"Session status"
60,IP-MAC绑定配置,"IP-MAC binding configuration"
61,联动,Collaboration
62,URL过滤,"URL filtering"
63,URL过滤策略,"URL filtering policy"
64,URL黑名单,"URL blacklist"
65,URL白名单,"URL white list"
66,配置,Configuration
67,web应用防护,"WEB application protection"
68,病毒防护,"Virus prevention"
69,更新2,"Update 2"
70,基本配置,"Basic configuration"
71,防病毒策略设置,"Anti-virus policy setting"
72,信息泄漏防护,"Information leakage prevention"
73,关键词过滤,"Keywords filtering"
75,文件过滤,"File filtering"
76,标题,Title
78,"SSL VPN","SSL VPN"
79,服务管理,"Service management"
80,用户配置,"User configuration"
81,"IPSEC VPN","IPSEC VPN"
82,本地子网,"Local subnet"
83,分支对接,"Branch connection"
84,IPSEC监控管理,"IPSEC monitoring management"
85,"L2TP VPN","L2TP VPN"
86,下载,Download
87,监控管理,"Monitoring management"
88,首页定制保存,"Homepage customization saved"
89,虚拟池IP,"Virtual IP pool"
90,导出,Export
91,"NAT 穿越","NAT traversal"
92,网站访问分析(当月),"Website access analysis(current month)"
93,中心节点,"Center node"
94,边缘节点,"Edge node"
95,重新扫描,Rescan
96,GRE隧道,"GRE tunnel"
97,停止,Stop
98,虚拟线路,"Virtual wire"
99,通道配置,"Channel configuration"
100,策略自动演进,"Adaptive policy"
101,综合分析(按天),"Comprehensive analysis(by day)"
102,蜜罐,"Honey pot"
103,综合分析(按月),"Comprehensive analysis(by month)"
104,反向拍照,"Reverse photographing"
105,防扫描,Anti-scan
106,添加黑白名单,"Add blacklist and whitelist"
107,报表统计,"Report statistics"
108,管理员帐号,"Administrator's account"
109,系统配置,"System configuration"
110,系统维护,"System maintenance"
111,帮助支持,"Help and support"
112,高可用性,"High availability"
113,应急支持,"Emergency support"
115,攻击报表预览,"Attack report preview"
116,配置管理,"Configuration management"
117,基本参数设置,"Basic parameter setting"
118,站点组管理,"Site group management"
122,访问流量报表预览,"Access traffic report preview"
129,访问控制配置开关,"Access control configuration switch"
133,HA端口及参数配置,"HA port and parameter configuration"
134,通知配置,"Notice configuration"
135,规则升级,"Rule upgrading"
136,报警设置,"Alert setting"
137,ssh开关,"SSH switch"
140,系统升级,"System upgrading"
141,攻击报表,"Attack report"
142,访问流量报表,"Access traffic report"
143,即时报表,"Instant report"
144,报表管理,"Report management"
145,规则配置,"Rule configuration"
146,高级设置,"Advanced setting"
147,自学习,Self-learning
148,动态建模,"Dynamic modeling"
149,非法外联,"Illegal external connection"
150,DDOS防护,"DDOS prevention"
151,网页防篡改,"Web page defacement prevention"
152,内置规则,"Built-in rule"
153,自定义规则,"User defined rule"
154,规则模板设置,"Rule template setting"
155,访问控制,"Access control"
156,HTTP防溢出设置,"HTTP anti-overflow setting"
157,HTTP协议版本过滤,"HTTP protocol version filtering"
158,HTTP头字段设置,"HTTP header field setting"
159,文件扩展名过滤,"Filename extention filtering"
160,敏感词过滤设置,"Sensitive word filtering setting"
161,防盗链设置,"Anti hotlink setting"
162,爬虫防护设置,"Anti crawler setting"
163,防误报设置,"Anti false positive setting"
164,自学习设置,"Self-learning setting"
165,自学习访问白名单,"Self-learning access white list"
166,自学习结果,"Self-learning result"
167,非法外联检测,"Illegal external connection detection"
168,非法外联设置,"Illegal external connection setting"
169,智能阻断设置,"Intelligent blocking  setting"
170,DDOS防护设置,"DDOS prevention setting"
171,CC防护设置,"CC prevention setting"
172,可用性监测,"Availability monitoring"
173,漏洞扫描,"Vulnerability scanning"
174,返回页面设置,"Back to page setting"
175,上传,Upload
176,数据管理,"Data management"
177,组/用户,Group/user
178,数据管理模型,"Data management model"
179,系统,System
180,数据表,"Data sheet"
181,网络配置,"Network configuration"
182,账号管理,"Account management"
183,数据库,Database
184,路由配置,"Routing management"
185,对象定义,"Object definition"
186,登录配置,"Login configuration"
187,用户管理,"User management"
188,虚拟专网,VPN
189,流量管理,"Traffic management"
190,智能防护,"Intelligent protection"
191,"Action ID","Action ID"
192,Name,Name
193,Desc,Desc
194,ID,ID
196,时间,Time
199,排序,Order
200,显示,Display
202,Title,Title
212,Type,Type
218,IP类型,"IP type"
219,IP或IP段,"IP or IP segment"
220,类型,Type
221,状态,Status
222,Priority,Priority
223,Severity,Severity
230,Host,Host
231,Db,Db
232,User,User
233,Pwd,Pwd
234,"Task ID","Task ID"
235,"Parent ID","Parent ID"
236,Tb,Tb
237,"Tb Create","Tb Create"
238,Field,Field
239,"Field Global Var","Field Global Var"
240,"Field Attribute Label","Field Attribute Label"
241,"Field Attribute Labels Config","Field Attribute Labels Config"
242,"Field Rules","Field Rules"
243,"Field Search","Field Search"
244,"Field Search Box","Field Search Box"
245,"Field Table","Field Table"
246,"Field Edit","Field Edit"
247,"Field Data","Field Data"
248,"Is Use","Is Use"
249,Interface,Interface
250,Vhid,Vhid
251,Password,Password
252,State,State
253,Ip,Ip
254,"Database Ip","Database Ip"
255,"Database Port","Database Port"
256,"Is Setting","Is Setting"
257,"Server ID","Server ID"
258,"Offset ID","Offset ID"
259,"Had Sync","Had Sync"
260,Bridge,Bridge
261,"Is Port Aggregation","Is Port Aggregation"
262,"Database Sync Status","Database Sync Status"
272,Secname,Secname
277,报表名称,"Report name"
278,报表类型,"Report type"
279,报表说明,"Report introduction"
280,生成时间,"Generation time"
281,路径,Path
282,报表分类,"Report classification"
283,格式,Format
284,说明,Introduction
285,邮件通知,"Email notice"
286,文件格式,"File format"
289,Different,Different
293,"Redirect ID","Redirect ID"
294,描述,Description
295,链接,Link
296,用户名,Username
297,密码,Password
298,属组,"Affiliated group"
299,可用,Available
300,"Group ID","Group ID"
301,"Sys Menu ID","Sys Menu ID"
302,Enable,Enable
303,组别,Group
304,主键id,"Home key ID"
305,系统配置的键名,"Configured key name of system"
306,系统配置的键值,"Configured key value of system"
307,系统配置的描述,"Configured description of system"
323,"Country Code","Country Code"
330,Referer,Referer
333,Url,Url
339,Rulefile,Rulefile
341,Rev,Rev
343,Tag,Tag
344,Code,Code
345,Province,Province
346,Area,Area
347,"En Country","En Country"
348,"Cn Country","Cn Country"
349,Continent,Continent
354,绑定设备列表,"Binding device list"
358,IPV4地址,"IPV4 address"
359,IPV4掩码,"IPV4 mask"
360,IPV6地址,"IPV6 address"
361,IPV6掩码,"IPV6 mask"
364,登录,"Log in"
365,退出,"Log out"
366,验证码,"Verification code"
367,换一个,"Change another one"
368,关闭,Close
369,开始时间,"Start time"
370,结束时间,"End time"
371,旧密码,"Old password"
372,新密码,"New password"
373,提交,Submit
374,重置,Reset
375,刷新,Refresh
376,地址,Address
377,秒,Second
378,禁止,Disable
379,隐藏,Hide
380,是,Yes
382,新增,Add
383,跳到,"Skip to"
384,共,Total
385,记录,Record
386,页,Page
387,第一页,"The first page"
388,最后一页,"The last page"
389,下页,"The next page"
390,上页,"The previous page"
391,每页条数,"Number of items on each page"
392,操作,Action
393,升级,Upgrade
394,选择文件,"Select file"
395,文件类型,"File type"
396,文件不存在,"File absent"
397,必填项,"Required fields"
398,长度,Length
399,字节,Byte
400,反选,"Invert selection"
401,每天,"Every day"
402,每周,"Every week"
403,每月,"Every month"
404,还原,Restore
405,备注,Note
406,提示,Reminder
407,电子邮箱,E-mail
408,电话,Telephone
409,至,To
410,文件名,"File name"
411,高,High
412,低,Low
413,名称,Name
414,自定义,"User defined"
415,选择,Select
416,仅记录,"Only record"
417,允许访问,"Allow to access"
418,拒绝访问,"Access denied"
419,关闭链接,"Close link"
420,继续,Continue
421,目的,Destination
422,来源IP不合法,"Illegal source IP"
423,目标IP不合法,"Illegal target IP"
424,添加访问控制,"Add access control"
425,修改访问控制,"Modify access control"
426,来源IP防CC,"Source IP anti CC"
427,来源IP地址访问速率限制,"Access speed limit of source IP address"
428,阻止访问时间,"Blocking access time"
429,目的URI访问速率限制,"Access speed limit of target URI"
430,目的URI列表,"Target URI list"
431,特定URI防CC,"Specific URL anti CC"
432,次,Times
433,网络流量选择,"Network traffic selection"
434,推荐阈值,"Recommend threshold"
435,"系统根据选择的网络流量,推荐合理的阀值范围","The system will recommend reasonable threshold range according to selected network traffic."
436,总流量触发阀值,"Threshold of trigerring total traffic"
437,数据包/秒,"Data packet/s"
438,总流量阀值/单IP,"Total traffic threshold/single IP"
439,包触发阀值,"Threshold to trigger packet"
440,包阀值/单IP,"Packet threshold/single IP"
441,"SYN Flood触发阀值","Threshold to trigger SYN Flood"
442,"SYN Flood阀值/单IP","SYN Flood  threshold/single IP"
443,目标IP地址,"Target IP address"
444,配置文件导出,"Configure file export"
445,导出配置,"Export configuration"
447,恢复配置成功,"Successfully restore configuration"
448,配置已应用,"Configuration is applied"
449,生成配置成功,"Congiguration is generated successfully"
450,未知类型,"Unkown type"
451,配置已完成,"Configuration completed"
452,磁盘阀值,"Disk threshold"
453,选择一行数据,"Please select a row of data"
454,选择要删除的数据,"Please select the data to delete"
455,页面类型,"Page type"
456,页面文件,"Page file"
457,配置文字,"Configure text"
458,生效,"Take effect"
459,页面已存在,"Page exists"
460,文件上传失败,"Fail to upload file"
462,填写提示文字,"Fill in reminder text"
463,没有选择数据,"Have not selected data"
464,错误页面类型,"Error page type"
465,上传页面,"Upload page"
466,页面提示文字,"Reminder text of page"
467,文件扩展名称,"File extension name"
468,监控接口,"Monitoring interface"
469,优先级,Priority
470,限制从0到255,"Limit from 0 to 255"
471,数据库配置同步,"Database configuration synchronization"
472,对端,End-to-end
473,选中的接口没有设置IP地址,"The selected interface doesn't set up IP address."
474,文件类型将不会被盗链,"File type will not be compromised"
475,禁止的HTTP头字段设置,"Disabled HTTP header field setting"
476,HTTP头字段,"HTTP header field"
478,允许的HTTP协议版本设置,"Allowed HTTP protocol version setting"
479,HTTP协议版本,"HTTP protocol version"
480,危害等级,"Danger level"
481,攻击类型,"Attack type"
482,源IP地址,"Source IP address"
485,一般信息,"General information"
486,规则模板库更新失败,"Rule template base updating failed."
487,邮件报警,"E-mail alert"
488,短信报警,"SMS alert"
489,发送间隔,"Send interval"
490,"报警发送间隔,单位:小时","Alert sending interval, unit: hour"
491,通知设置,"Notification setting"
492,登录的帐号,"Login account"
493,登录的密码,"Login password"
494,发送端口,"Send port"
495,接收邮件的email,"Email received"
496,接收报警的手机号码,"Mobile Number to receive alert"
497,规则ID,"Rule ID"
498,目标主机,"Target host"
499,没有选择需要更新的数据,"Haven't selected data to update"
500,没有选择需要删除的数据,"Haven't selected data to delete"
501,转黑名单,"Transfer to blacklist"
502,转白名单,"Transfer to white list"
503,查询,Search
504,拦截,Block
505,放行,Pass
