id,中文,en-US
301200name,Accept溢出,"Accept overflow"
301200desc,,
301200harm_desc,当accept参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,"When the accept parameter is too long to exceed the scope of the server cache, it will cause overflow. Attackers usually add their own code to achieve the purpose of attack in the overflow part."
301200suggest,可根据自身对Accpet字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Accept大小，一般不超过2048,"According to its own data on the Accpet field to the waf page security management HTTP anti-overflow settings custom Accept size, usually not more than 2048"
301201name,Accept-Charset溢出,"Accept-Charset overflow"
301201desc,,
301201harm_desc,当Accept-Charset参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,"When the Accept-Charset parameter is too long to exceed the scope of the server cache, it will cause overflow. Attackers usually add their own code to achieve the purpose of attack in the overflow part."
301201suggest,可根据自身对Accpet-Charset字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Accept-Charset大小，一般不超过2048,"According to its own data on the Accept-Charset field to the waf page security management HTTP anti-overflow settings custom Accept size, usually not more than 2048"
301202name,Accept-Encoding溢出,"Accept-Encoding overflow"
301202desc,,
301202harm_desc,当Accept-Encoding参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,"When the Accept-Encoding parameter is too long to exceed the scope of the server cache, it will cause overflow. Attackers usually add their own code to achieve the purpose of attack in the overflow part."
301202suggest,可根据自身对Accpet-Encoding字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Accept-Encoding大小，一般不超过2048,"According to its own data on the Accept-Encoding field to the waf page security management HTTP anti-overflow settings custom Accept size, usually not more than 2048"
301203name,Cookie溢出,"Cookie overflow"
301203desc,,
301203harm_desc,当Cookie参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,"When the Cookie parameter is too long to exceed the scope of the server cache, it will cause overflow. Attackers usually add their own code to achieve the purpose of attack in the overflow part."
301203suggest,可根据自身对Cookie字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Cookie大小，一般不超过2048,"According to its own data on the Cookie field to the waf page security management HTTP anti-overflow settings custom Accept size, usually not more than 2048"
301204name,Post溢出,"Post overflow"
301204desc,,
301204harm_desc,当Post参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,"When the Post parameter is too long to exceed the scope of the server cache, it will cause overflow. Attackers usually add their own code to achieve the purpose of attack in the overflow part."
301204suggest,可根据自身对Post字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Post大小，一般不超过2048,"According to its own data on the Post field to the waf page security management HTTP anti-overflow settings custom Accept size, usually not more than 2048"
301205name,URI溢出,"URI overflow"
301205desc,,
301205harm_desc,当URI参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,"When the URI parameter is too long to exceed the scope of the server cache, it will cause overflow. Attackers usually add their own code to achieve the purpose of attack in the overflow part."
301205suggest,可根据自身对URI段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义URI大小，一般不超过2048,"According to its own data on the URI field to the waf page security management HTTP anti-overflow settings custom Accept size, usually not more than 2048"
301206name,Host溢出,"Host overflow"
301206desc,,
301206harm_desc,当Host参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,"When the Host parameter is too long to exceed the scope of the server cache, it will cause overflow. Attackers usually add their own code to achieve the purpose of attack in the overflow part."
301206suggest,可根据自身对Host段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Host大小，一般不超过2048,"According to its own data on the Host field to the waf page security management HTTP anti-overflow settings custom Accept size, usually not more than 2048"
301207name,Referer溢出,"Referer overflow"
301207desc,,
301207harm_desc,当Referer参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,"When the Referer parameter is too long to exceed the scope of the server cache, it will cause overflow. Attackers usually add their own code to achieve the purpose of attack in the overflow part."
301207suggest,可根据自身对Referer段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Referer大小，一般不超过2048,"According to its own data on the Referer field to the waf page security management HTTP anti-overflow settings custom Accept size, usually not more than 2048"
301208name,Authorization溢出,"Authorization overflow"
301208desc,,
301208harm_desc,当Authorization参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,"When the Authorization parameter is too long to exceed the scope of the server cache, it will cause overflow. Attackers usually add their own code to achieve the purpose of attack in the overflow part."
301208suggest,可根据自身对Authorization字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Authorization大小，一般不超过2048,"According to its own data on the Authorization field to the waf page security management HTTP anti-overflow settings custom Accept size, usually not more than 2048"
301209name,Poxy-Authorization溢出,"Poxy-Authorization overflow"
301209desc,,
301209harm_desc,当Poxy-Authorization参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,"When the Poxy-Authorization parameter is too long to exceed the scope of the server cache, it will cause overflow. Attackers usually add their own code to achieve the purpose of attack in the overflow part."
301209suggest,可根据自身对Poxy-Authorization字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Poxy-Authorization大小，一般不超过2048,"According to its own data on the Poxy-Authorization field to the waf page security management HTTP anti-overflow settings custom Accept size, usually not more than 2048"
301210name,User-Agent溢出,"User-Agent overflow"
301210desc,,
301210harm_desc,当User-Agent参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,"When the User-Agent parameter is too long to exceed the scope of the server cache, it will cause overflow. Attackers usually add their own code to achieve the purpose of attack in the overflow part."
301210suggest,可根据自身对User-Agent字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义User-Agent大小，一般不超过2048,"According to its own data on the User-Agent field to the waf page security management HTTP anti-overflow settings custom Accept size, usually not more than 2048"
900032name,"检测http请求参数是否发生参数污染(Http Parameter Pollution)","Http Parameter Pollution"
900032desc,"检测http请求参数是否发生参数污染(Http Parameter Pollution)，一些参数会重复出现","Detect if any Http Parameter Pollution occurred in the http request parameter, some parameters will appear repeatedly"
900032harm_desc,"这个漏洞由S. di Paola 与L. Caret Toni在2009年的OWASP上首次公布。这也是一种注入型的漏洞，攻击者通过在HTTP请求中插入特定的参数来发起攻击。如果Web应用中存在这样的漏洞，可以被攻击者利用来进行客户端或者服务器端的攻击。","This vulnerability was first announced by Odiascola and L. Caret Toni at OWASP 2009. This is also an injection-type exploit, in which an attacker attacks by inserting specific parameters in an HTTP request. If there are such vulnerabilities in web applications, they can be exploited by attackers for client-side or server-side attacks."
