id,中文,zh-CN
301200name,Accept溢出,Accept溢出
301200desc,,
301200harm_desc,当accept参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,当accept参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的
301200suggest,可根据自身对Accpet字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Accept大小，一般不超过2048,可根据自身对Accpet字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Accept大小，一般不超过2048
301201name,Accept-Charset溢出,Accept-Charset溢出
301201desc,,
301201harm_desc,当Accept-Charset参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,当Accept-Charset参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的
301201suggest,可根据自身对Accpet-Charset字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Accept-Charset大小，一般不超过2048,可根据自身对Accpet-Charset字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Accept-Charset大小，一般不超过2048
301202name,Accept-Encoding溢出,Accept-Encoding溢出
301202desc,,
301202harm_desc,当Accept-Encoding参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,当Accept-Encoding参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的
301202suggest,可根据自身对Accpet-Encoding字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Accept-Encoding大小，一般不超过2048,可根据自身对Accpet-Encoding字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Accept-Encoding大小，一般不超过2048
301203name,Cookie溢出,Cookie溢出
301203desc,,
301203harm_desc,当Cookie参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,当Cookie参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的
301203suggest,可根据自身对Cookie字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Cookie大小，一般不超过2048,可根据自身对Cookie字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Cookie大小，一般不超过2048
301204name,Post溢出,Post溢出
