id,中文,zh-CN
1,更新,更新
2,缓存管理,缓存管理
3,添加,添加
4,系统监控,系统监控
5,查看,查看
6,信息概况,信息概况
7,网络流量监控,网络流量监控
8,设备负载监控,设备负载监控
9,删除,删除
10,WEB应用监控,WEB应用监控
12,修改,修改
15,上传文件,上传文件
19,编辑,编辑
22,安装库,安装库
23,搜索,搜索
24,配置表,配置表
25,网口配置,网口配置
26,端口镜像,端口镜像
28,虚拟线,虚拟线
30,拨号设备,拨号设备
31,端口聚合,端口聚合
32,VLAN设备,VLAN设备
33,DHCP,DHCP
34,DNS设置,DNS设置
35,IPV6隧道配置,IPV6隧道配置
36,NAT64配置,NAT64配置
37,ECMP,ECMP
38,静态路由,静态路由
39,WEB站点流量,WEB站点流量
40,策略路由,策略路由
41,"新建连接数 与 处理事务数","新建连接数 与 处理事务数"
42,ISP路由,ISP路由
43,并发连接数,并发连接数
44,动态路由,动态路由
45,IP/IP组,IP/IP组
46,ISP地址,ISP地址
47,服务/组,服务/组
48,URL类型组,URL类型组
49,文件类型组,文件类型组
50,时间计划,时间计划
51,自定义IPS规则库,自定义IPS规则库
52,WEB应用防护规则库,WEB应用防护规则库
53,NAT,NAT
54,连接数控制,连接数控制
55,DOS/DDOS防护,DOS/DDOS防护
56,会话管理,会话管理
57,会话控制,会话控制
58,连接排行榜,连接排行榜
59,会话状态,会话状态
60,IP-MAC绑定配置,IP-MAC绑定配置
61,联动,联动
62,URL过滤,URL过滤
63,URL过滤策略,URL过滤策略
64,URL黑名单,URL黑名单
65,URL白名单,URL白名单
66,配置,配置
67,web应用防护,web应用防护
68,病毒防护,病毒防护
69,更新2,更新2
70,基本配置,基本配置
71,防病毒策略设置,防病毒策略设置
72,信息泄漏防护,信息泄漏防护
73,关键词过滤,关键词过滤
75,文件过滤,文件过滤
76,标题,标题
78,"SSL VPN","SSL VPN"
79,服务管理,服务管理
80,用户配置,用户配置
81,"IPSEC VPN","IPSEC VPN"
82,本地子网,本地子网
83,分支对接,分支对接
84,IPSEC监控管理,IPSEC监控管理
85,"L2TP VPN","L2TP VPN"
86,下载,下载
87,监控管理,监控管理
88,首页定制保存,首页定制保存
89,虚拟池IP,虚拟池IP
90,导出,导出
91,"NAT 穿越","NAT 穿越"
92,网站访问分析(当月),网站访问分析(当月)
93,中心节点,中心节点
94,边缘节点,边缘节点
95,重新扫描,重新扫描
96,GRE隧道,GRE隧道
97,停止,停止
98,虚拟线路,虚拟线路
99,通道配置,通道配置
100,策略自动演进,策略自动演进
101,综合分析(按天),综合分析(按天)
102,蜜罐,蜜罐
103,综合分析(按月),综合分析(按月)
104,反向拍照,反向拍照
105,防扫描,防扫描
106,添加黑白名单,添加黑白名单
107,报表统计,报表统计
108,管理员帐号,管理员帐号
109,系统配置,系统配置
110,系统维护,系统维护
111,帮助支持,帮助支持
112,高可用性,高可用性
113,应急支持,应急支持
115,攻击报表预览,攻击报表预览
116,配置管理,配置管理
117,基本参数设置,基本参数设置
118,站点组管理,站点组管理
122,访问流量报表预览,访问流量报表预览
129,访问控制配置开关,访问控制配置开关
133,HA端口及参数配置,HA端口及参数配置
134,通知配置,通知配置
135,规则升级,规则升级
136,报警设置,报警设置
137,ssh开关,ssh开关
140,系统升级,系统升级
141,攻击报表,攻击报表
142,访问流量报表,访问流量报表
143,即时报表,即时报表
144,报表管理,报表管理
145,规则配置,规则配置
146,高级设置,高级设置
147,自学习,自学习
148,动态建模,动态建模
149,非法外联,非法外联
150,DDOS防护,DDOS防护
151,网页防篡改,网页防篡改
152,内置规则,内置规则
153,自定义规则,自定义规则
154,规则模板设置,规则模板设置
155,访问控制,访问控制
156,HTTP防溢出设置,HTTP防溢出设置
157,HTTP协议版本过滤,HTTP协议版本过滤
158,HTTP头字段设置,HTTP头字段设置
159,文件扩展名过滤,文件扩展名过滤
160,敏感词过滤设置,敏感词过滤设置
161,防盗链设置,防盗链设置
162,爬虫防护设置,爬虫防护设置
163,防误报设置,防误报设置
164,自学习设置,自学习设置
165,自学习访问白名单,自学习访问白名单
166,自学习结果,自学习结果
167,非法外联检测,非法外联检测
168,非法外联设置,非法外联设置
169,智能阻断设置,智能阻断设置
170,DDOS防护设置,DDOS防护设置
171,CC防护设置,CC防护设置
172,可用性监测,可用性监测
173,漏洞扫描,漏洞扫描
174,返回页面设置,返回页面设置
175,上传,上传
176,数据管理,数据管理
177,组/用户,组/用户
178,数据管理模型,数据管理模型
179,系统,系统
180,数据表,数据表
181,网络配置,网络配置
182,账号管理,账号管理
183,数据库,数据库
184,路由配置,路由配置
185,对象定义,对象定义
186,登录配置,登录配置
187,用户管理,用户管理
188,虚拟专网,虚拟专网
189,流量管理,流量管理
190,智能防护,智能防护
191,"Action ID","Action ID"
192,Name,Name
193,Desc,Desc
194,ID,ID
196,时间,时间
199,排序,排序
200,显示,显示
202,Title,Title
212,Type,Type
218,IP类型,IP类型
219,IP或IP段,IP或IP段
220,类型,类型
221,状态,状态
222,Priority,Priority
223,Severity,Severity
230,Host,Host
231,Db,Db
232,User,User
233,Pwd,Pwd
234,"Task ID","Task ID"
235,"Parent ID","Parent ID"
236,Tb,Tb
237,"Tb Create","Tb Create"
238,Field,Field
239,"Field Global Var","Field Global Var"
240,"Field Attribute Label","Field Attribute Label"
241,"Field Attribute Labels Config","Field Attribute Labels Config"
242,"Field Rules","Field Rules"
