success "升级成功"
abort "异常终止"
update_in_progress "升级正在进行"
dev_depend_patch_fail "设备依赖性检查失败"
build_dpdk_fail "升级dpdk失败"
build_dpdk_warper_fail "升级dpdk warper失败"
build_policy_evolve_fail "升级策略自动演进失败"
build_ips_fail "升级IPS失败"
build_waf_fail "升级web应用防护失败"
build_snort_fail "升级防扫描、反拍照失败"
build_user_authen_fail "升级用户认证失败"
update_php_fail "升级PHP失败"
update_python_fail "升级python失败"
update_database_fail "升级数据库失败"
missing_dpdk "dpdk缺失"
missing_dpdk_warper "dpdk warper升级包缺失"
missing_snort "防扫描升级包缺失"
missing_daq "防扫描升级包缺失"
missing_python "python升级包缺失"
missing_python_etc "python配置文件缺失"
install_pyinotify_fail "安装python pyinotify模块失败"
install_ipy_fail "安装python ipy模块失败"
install_jinja_fail "安装python jinja模块失败"
install_markupsafe_fail "安装python markupsafe模块失败"
install_mysqlpython_fail "安装python mysqlpython模块失败"
install_netaddr_fail "安装python netaddr模块失败"
install_psutil_fail "安装python psutil模块失败"
no_update_package "找不到升级包"
md5_check_fail "升级包md5校验失败"
unable_to_decrypt_package "升级包解密失败"
cannot_extract_update_tar_ball "无法解压升级包"
